unnamed: 0.1,unnamed: 0,timestamp,turn,speaker,sentence,teacher_tag,student_tag,damsltag,dialogact,lesson_id,turn_num,_row,role
47,47,,30.0,T,You also have the same number.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,30.0,576,teacher
48,48,,31.0,James,Thirty-four.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,31.0,577,student
49,49,,32.0,T,Thirty-four?,2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,32.0,578,teacher
50,50,,33.0,James,Yeah.,,1 - None,b,Acknowledge (Backchannel),Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,33.0,579,student
51,51,,34.0,T,Those have ten.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,34.0,580,teacher
52,52,,34.0,T,I don’t see ten steps.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,34.0,581,teacher
53,53,,34.0,T,How do you …?,8 - Press for Accuracy,,qy,Yes-No-Question,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,34.0,582,teacher
54,54,,35.0,Ariel,Five.,,5 - Providing Evidence / Explaining Reasoning,%,Uninterpretable,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,35.0,583,student
55,55,,35.0,Ariel,I counted how many rods it is and then I just multiplied by two because five times two is ten.,,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,35.0,584,student
56,56,,35.0,Ariel,"It was seventeen rods, so seventeen times two is thirty-four.",,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,35.0,585,student
57,57,,36.0,T,"Uh, uh, again, again, slowly.",1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,36.0,586,teacher
58,58,,36.0,T,You are so fast for me.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,36.0,587,teacher
59,59,,37.0,Ariel,"OK, I did five steps, and then I counted how many rods that was.",,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,37.0,588,student
60,60,,37.0,Ariel,"It was seventeen and since five is half of ten, five times two is ten, so I just multiplied the number of rods by two and I got thirty-four for seventeen rods.",,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,37.0,589,student
61,61,,38.0,T,So how would you get for hundred then?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,38.0,590,teacher
62,62,,39.0,Ariel,Four hundred?,,1 - None,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,39.0,591,student
63,63,,41.0,James,Two sixty-two.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,41.0,592,student
64,64,,41.0,James,I got two hundred and sixty-two.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,41.0,593,student
65,65,,41.0,James,There is an announcement over the PA system.,,1 - None,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,41.0,594,student
66,66,,42.0,Ariel,I got one thousand three hundred and sixty.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,42.0,595,student
67,67,,43.0,James,I just do this by times eighty.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,43.0,596,student
68,68,,44.0,T,How much?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,44.0,597,teacher
69,69,,44.0,T,How many you got?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,44.0,598,teacher
70,70,,45.0,James,Thirteen sixty.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,45.0,599,student
71,71,,46.0,T,We have to find a way to figure this out whether it is right or wrong.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,46.0,600,teacher
72,72,,47.0,Ariel,It is right.,,4 - Making a Claim,aa,Agree/Accept,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,47.0,601,student
73,73,,48.0,T,It can’t be that for a hundred.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,48.0,602,teacher
74,74,,49.0,Ariel,"Look, ten is thirty-four and ten times ten is one hundred, so thirty-four times ten is three hundred and forty – let me write that – OK, then three hundred and forty times four which would be three hundred forty equals one hundred rods, so three hundred and forty times four would be one thousand three hundred and sixty.",,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,49.0,603,student
75,75,,50.0,T,What is that four?,8 - Press for Accuracy,,sv,Statement-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,50.0,604,teacher
76,76,,51.0,Ariel,The hundreds.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,51.0,605,student
77,77,,52.0,James,I got a different one.,,2 - Relating to Another Student,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,52.0,606,student
78,78,,53.0,James,"… which is eighty, so I had to multiply, seventeen times eighty.",,2 - Relating to Another Student,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,53.0,607,student
79,79,,54.0,T,So let’s see.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,54.0,608,teacher
80,80,,54.0,T,"You are saying that thirty-four is what, it is the number of rods.",1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,54.0,609,teacher
81,81,,54.0,T,What is that thirty-four comes from?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,54.0,610,teacher
82,82,,55.0,Ariel,That is thirty-four rods you would use to make ten steps.,,4 - Making a Claim,sv,Statement-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,55.0,611,student
83,83,,56.0,T,Then you are multiplying by …,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,56.0,612,teacher
84,84,,57.0,Ariel,By ten because ten times ten is one hundred.,,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,57.0,613,student
85,85,,58.0,T,Yeah.,1 - None,,b,Acknowledge (Backchannel),Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,58.0,614,teacher
86,86,,59.0,Ariel,"So, thirty-four times ten is three hundred and forty.",,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,59.0,615,student
87,87,,60.0,T,Yeah.,1 - None,,b,Acknowledge (Backchannel),Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,60.0,616,teacher
88,88,,61.0,Ariel,"And for four hundred, it would be three hundred and forty times four, since three hundred and forty would be one hundred steps so one hundred times four is four hundred.",,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,61.0,617,student
89,89,,62.0,T,What is that four come from?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,62.0,618,teacher
90,90,,63.0,Ariel,The one hundred times four.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,63.0,619,student
91,91,,64.0,T,One hundred times four?,2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,64.0,620,teacher
92,92,,64.0,T,What is that four?,8 - Press for Accuracy,,sv,Statement-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,64.0,621,teacher
93,93,,65.0,Ariel,The steps.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,65.0,622,student
94,94,,66.0,T,"But, I am asking for a hundred steps.",1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,66.0,623,teacher
95,95,,67.0,Ariel,What?,,1 - None,ba,Appreciation,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,67.0,624,student
96,96,,68.0,T,"We are saying for a hundred, right?",1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,68.0,625,teacher
97,97,,69.0,Ariel,You said four hundred.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,69.0,626,student
98,98,,70.0,T,"No, I said for a hundred, a hundred.",1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,70.0,627,teacher
99,99,,71.0,Ariel,Oh!,,1 - None,%,Uninterpretable,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,71.0,628,student
100,100,,72.0,T,"I am sorry, did you understand four hundred?",2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,72.0,629,teacher
101,101,,73.0,Ariel,Yeah.,,1 - None,b,Acknowledge (Backchannel),Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,73.0,630,student
102,102,,74.0,T,"I am sorry, I meant a hundred.",1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,74.0,631,teacher
103,103,,75.0,Ariel,"Oh, three hundred and forty.",,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,75.0,632,student
104,104,,76.0,T,Three hundred and forty?,2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,76.0,633,teacher
105,105,,77.0,Ariel,Yeah.,,1 - None,b,Acknowledge (Backchannel),Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,77.0,634,student
0,0,,1.0,T,"So, how about for eight?",8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,1.0,310,teacher
1,1,,1.0,T,"So you’re saying, so how would you do for eight?",8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,1.0,311,teacher
2,2,,2.0,Ariel,For eight?,,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,2.0,312,student
3,3,,3.0,T,"So your saying, your taking..",1 - None,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,3.0,313,teacher
4,4,,3.0,T,So why did you pick thirty-four?,9 - Press for Reasoning,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,3.0,314,teacher
5,5,,4.0,Ariel,Because um ten steps is thirty-four.,,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,4.0,315,student
6,6,,5.0,T,"So out of this hundred, you chose ten, right?",2 - Keeping Everyone Together,,sv,Statement-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,5.0,316,teacher
7,7,,5.0,T,"You fix ten which has thirty-four, right?",2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,5.0,317,teacher
8,8,,5.0,T,"How would you do for four, how would you do for eight?",8 - Press for Accuracy,,sv,Statement-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,5.0,318,teacher
9,9,,6.0,Ariel,For eight?,,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,6.0,319,student
10,10,,7.0,T,Using the same idea.,1 - None,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,7.0,320,teacher
11,11,,8.0,James,What?,,1 - None,ba,Appreciation,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,8.0,321,student
12,12,,8.0,James,Eight what?,,3 - Asking for More Information,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,8.0,322,student
13,13,,9.0,T,A ladder with eight steps.,1 - None,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,9.0,323,teacher
14,14,,10.0,Ariel,"One, two, three, four, five, six, seven, eight.",,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,10.0,324,student
15,15,,11.0,Ariel,"Ah, here I go.",,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,11.0,325,student
16,16,,11.0,Ariel,"One, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen, nineteen, twenty, twenty-one, twenty-two, twenty-three, twenty- four, twenty-five, twenty-six.",,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,11.0,326,student
17,17,,11.0,Ariel,Ahh?,,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,11.0,327,student
18,18,,12.0,Ariel,"One, two, three, four, five, six, seven, eight.",,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,12.0,328,student
19,19,,12.0,Ariel,How the heck?,,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,12.0,329,student
20,20,,13.0,James,Any questions?,,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,13.0,330,student
21,21,,14.0,T,So how many did you find.,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,14.0,331,teacher
22,22,,15.0,Ariel,"Because the four steps . One, two, three, four.",,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,15.0,332,student
23,23,,16.0,Ariel,"One, two, three, four.",,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,16.0,333,student
24,24,,16.0,Ariel,"Take this whole thing off, right?",,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,16.0,334,student
25,25,,17.0,James,Do you know an easier way?,,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,17.0,335,student
26,26,,18.0,Ariel,You have four steps right?,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,18.0,336,student
27,27,,18.0,Ariel,"One, two, three, four.",,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,18.0,337,student
28,28,,19.0,Ariel,"Now, one, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen.",,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,19.0,338,student
29,29,,21.0,T,"So how many in total for eight, for a ladder with eight steps?",8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,21.0,339,teacher
30,30,,21.0,T,How many is that?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,21.0,340,teacher
31,31,,22.0,Ariel,So the rods … you multiply by two.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,22.0,341,student
32,32,,23.0,James,"But when you add four more, you add three more steps for each one.",,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,23.0,342,student
33,33,,23.0,James,"So for another step that’s three blocks, for another step there that’s three blocks and that equals twelve, so fourteen plus twelve is twenty- six.",,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,23.0,343,student
34,34,,24.0,Ariel,Nice.,,1 - None,aa,Agree/Accept,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,24.0,344,student
35,35,,25.0,James,So these two must be wrong.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,25.0,345,student
36,36,,26.0,Ariel,Which one?,,3 - Asking for More Information,aa,Agree/Accept,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,26.0,346,student
37,37,,26.0,Ariel,"Oh, the ten one?",,3 - Asking for More Information,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,26.0,347,student
38,38,,27.0,James,"Then, you’d have to multiply that by thirty.",,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,27.0,348,student
39,39,,27.0,James,"Yeah, I had to multiply that by thirty and then divide it by five, which is that six and then seventeen times six.",,5 - Providing Evidence / Explaining Reasoning,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,27.0,349,student
40,40,,27.0,James,And that’s how you get the answer.,,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,27.0,350,student
41,41,,28.0,T,"So are we sure about, is the hundred sure, is that correct now?",2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,28.0,351,teacher
42,42,,28.0,T,"Are we sure that, it’s right now?",2 - Keeping Everyone Together,,aa,Agree/Accept,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,28.0,352,teacher
43,43,,29.0,James,Three twelve.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,29.0,353,student
44,44,,30.0,Ariel,I got to go at 3:30.. Or else I’ll be stuck..,,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,30.0,354,student
45,45,,31.0,Ariel,"How many steps we got.. One, two, three, four, five, six, seven, eight, nine, ten.",,1 - None,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,31.0,355,student
46,46,,32.0,T,Which one you are doing now?,2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,32.0,356,teacher
47,47,,33.0,Ariel,"Thirty, I give up man.",,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,33.0,357,student
48,48,,34.0,T,"Thirty, what?",8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,34.0,358,teacher
49,49,,35.0,Ariel,Thirty-two.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,35.0,359,student
50,50,,36.0,T,Thirty-two for what?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 2_Grade 7.xlsx_with_dialog_acts,36.0,360,teacher
